Year,Institute,Opening Rank,Closing Rank
2023,Pt. Dwarka Prasad Mishra Indian Institute of Information Technology Design & Manufacture Jabalpur,8582,14584
2022,Puducherry Technological University Puducherry,40667,40667
2023,Puducherry Technological University Puducherry,32306,45508
2016,Sant Longowal Institute of Engineering and Technology,20774,38758
2017,Sant Longowal Institute of Engineering and Technology,16710,32612
2018,Sant Longowal Institute of Engineering and Technology,14265,37660
2020,Sant Longowal Institute of Engineering and Technology,40047,48374
2021,Sant Longowal Institute of Engineering and Technology,34950,52635
2022,Sant Longowal Institute of Engineering and Technology,12212,49875
2023,Sant Longowal Institute of Engineering and Technology,33566,54514
2016,School of Engineering Tezpur University Napaam Tezpur,30120,38024
2017,School of Engineering Tezpur University Napaam Tezpur,27348,32865
2018,School of Engineering Tezpur University Napaam Tezpur,31436,37335
2020,School of Engineering Tezpur University Napaam Tezpur,36847,50245
2021,School of Engineering Tezpur University Napaam Tezpur,40378,54753
2022,School of Engineering Tezpur University Napaam Tezpur,35243,50601
2023,School of Engineering Tezpur University Napaam Tezpur,41816,54313
2016,Shri Mata Vaishno Devi University Katra Jammu & Kashmir,30868,49818
2017,Shri Mata Vaishno Devi University Katra Jammu & Kashmir,30013,44869
2018,Shri Mata Vaishno Devi University Katra Jammu & Kashmir,16615,44848
2020,Shri Mata Vaishno Devi University Katra Jammu & Kashmir,34518,53902
2021,Shri Mata Vaishno Devi University Katra Jammu & Kashmir,23704,61619
2022,Shri Mata Vaishno Devi University Katra Jammu & Kashmir,43438,63287
2023,Shri Mata Vaishno Devi University Katra Jammu & Kashmir,46281,65013
